date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:44	24240/24240	---M--	200	added ('OK')	application/octet-stream	etag:%22535887f2ccd123d7394212a0e9178eba%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-light-webfont.woff?1307578394	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-light-webfont7adf.woff	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:44	21621/21621	---M--	200	added ('OK')	application/octet-stream	etag:%2200eeac176fdbabd1745f24d77e87fa80%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-semibold-webfont.eot?1307578394	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-semibold-webfont7adf.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:44	21621/21621	---M--	200	added ('OK')	application/octet-stream	etag:%2200eeac176fdbabd1745f24d77e87fa80%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-semibold-webfont.eot?iefix	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-semibold-webfont86d7.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:46	24600/24600	---M--	200	added ('OK')	application/octet-stream	etag:%22767e848cc38bd0b4536edb739db09cf1%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-semibold-webfont.woff?1307578394	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-semibold-webfont7adf.woff	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:47	24000/24000	---M--	200	added ('OK')	application/octet-stream	etag:%2241065b527a9042fe2ceca7c339648174%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-semibolditalic-webfont.eot?1307578394	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-semibolditalic-webfont7adf.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:48	24000/24000	---M--	200	added ('OK')	application/octet-stream	etag:%2241065b527a9042fe2ceca7c339648174%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-semibolditalic-webfont.eot?iefix	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-semibolditalic-webfont86d7.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:49	27056/27056	---M--	200	added ('OK')	application/octet-stream	etag:%22e05b79581029656ae08431e00c658499%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-semibolditalic-webfont.woff?1307578394	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-semibolditalic-webfont7adf.woff	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:49	21413/21413	---M--	200	added ('OK')	application/octet-stream	etag:%22d21adbba91b610c1d191c486b82c7a03%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-bold-webfont.eot?1307578394	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-bold-webfont7adf.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:51	21413/21413	---M--	200	added ('OK')	application/octet-stream	etag:%22d21adbba91b610c1d191c486b82c7a03%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-bold-webfont.eot?iefix	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-bold-webfont86d7.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:52	24504/24504	---M--	200	added ('OK')	application/octet-stream	etag:%224d586ea0e3d15ec648bfc84bfb56181a%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-bold-webfont.woff?1307578394	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-bold-webfont7adf.woff	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
